"REF_DATE","GEO","DGUID","Products and product groups","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2000-01","Saskatchewan","2016A000247","Food","2002=100","17","units","0","v41692192","20.3","94.4","","","","1"
"2000-02","Saskatchewan","2016A000247","Food","2002=100","17","units","0","v41692192","20.3","94.4","","","","1"
"2000-03","Saskatchewan","2016A000247","Food","2002=100","17","units","0","v41692192","20.3","94.4","","","","1"
"2000-04","Saskatchewan","2016A000247","Food","2002=100","17","units","0","v41692192","20.3","94.6","","","","1"
"2000-05","Saskatchewan","2016A000247","Food","2002=100","17","units","0","v41692192","20.3","95.5","","","","1"
"2000-06","Saskatchewan","2016A000247","Food","2002=100","17","units","0","v41692192","20.3","95.1","","","","1"
"2000-07","Saskatchewan","2016A000247","Food","2002=100","17","units","0","v41692192","20.3","95.4","","","","1"
"2000-08","Saskatchewan","2016A000247","Food","2002=100","17","units","0","v41692192","20.3","95.9","","","","1"
"2000-09","Saskatchewan","2016A000247","Food","2002=100","17","units","0","v41692192","20.3","94.9","","","","1"
"2000-10","Saskatchewan","2016A000247","Food","2002=100","17","units","0","v41692192","20.3","94.2","","","","1"
"2000-11","Saskatchewan","2016A000247","Food","2002=100","17","units","0","v41692192","20.3","95.4","","","","1"
"2000-12","Saskatchewan","2016A000247","Food","2002=100","17","units","0","v41692192","20.3","97.9","","","","1"
"2001-01","Saskatchewan","2016A000247","Food","2002=100","17","units","0","v41692192","20.3","96.2","","","","1"
"2001-02","Saskatchewan","2016A000247","Food","2002=100","17","units","0","v41692192","20.3","97.0","","","","1"
"2001-03","Saskatchewan","2016A000247","Food","2002=100","17","units","0","v41692192","20.3","97.4","","","","1"
"2001-04","Saskatchewan","2016A000247","Food","2002=100","17","units","0","v41692192","20.3","97.9","","","","1"
"2001-05","Saskatchewan","2016A000247","Food","2002=100","17","units","0","v41692192","20.3","98.5","","","","1"
"2001-06","Saskatchewan","2016A000247","Food","2002=100","17","units","0","v41692192","20.3","98.6","","","","1"
"2001-07","Saskatchewan","2016A000247","Food","2002=100","17","units","0","v41692192","20.3","98.8","","","","1"
"2001-08","Saskatchewan","2016A000247","Food","2002=100","17","units","0","v41692192","20.3","98.8","","","","1"
"2001-09","Saskatchewan","2016A000247","Food","2002=100","17","units","0","v41692192","20.3","97.4","","","","1"
"2001-10","Saskatchewan","2016A000247","Food","2002=100","17","units","0","v41692192","20.3","97.3","","","","1"
"2001-11","Saskatchewan","2016A000247","Food","2002=100","17","units","0","v41692192","20.3","98.0","","","","1"
"2001-12","Saskatchewan","2016A000247","Food","2002=100","17","units","0","v41692192","20.3","99.7","","","","1"
