Product,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Stat
Alcoholic beverages,96.03333333,96.325,99.99166667,103.1666667,106.375,107.8416667,111.475,113.7833333,118.0333333,123.3666667,128.825,132.0833333,134.2,138.1,140.475,142.275,145.675,149.7083333,153.95,155.4333333,157.0833333,162.9,172.0166667,178.025,182.6333333,48.64233333
Alcoholic beverages purchased from stores,94.91666667,95.30833333,100,102.9583333,106.3166667,108.9666667,110.5333333,113.1416667,115.1583333,118.275,122.9333333,125.35,128.65,132.15,134.6833333,135.6666667,138.8,142.3916667,148.2333333,150.5833333,153.4666667,162.125,171.9166667,175.625,178.15,47.498
Alcoholic beverages served in licensed establishments,97.74166667,97.89166667,99.99166667,103.5333333,106.4666667,106.0333333,113.0333333,114.8583333,123.025,132.2583333,139.0916667,144.025,143.5333333,148.275,150.3,153.425,157.1666667,161.9166667,164.4,164.675,164.6083333,166.75,175.5083333,188.0083333,198.7833333,58.17133333
"Alcoholic beverages, tobacco products and recreational cannabis",79.375,81.625,99.99166667,110.2083333,115.8166667,118.15,121.9083333,125.6916667,129.45,132.2416667,139.225,142.0666667,143.4833333,150.7916667,158.4,161.8416667,166.2666667,173.7833333,181.7416667,184.2083333,182.9833333,188.5583333,197.9833333,206.1083333,212.0916667,68.78466667
Bakery and cereal products (excluding baby food),95.9,97.16666667,100.0083333,104.025,107.7416667,107.8166667,111.9666667,117.25,129.4833333,136.475,132.1916667,139.8416667,145.2583333,146.95,146.6833333,150.6916667,151.5583333,147.0666667,144.275,144.4083333,146.975,146.9083333,165.375,182.9583333,185.8583333,50.465
Bakery products,95.84166667,97.36666667,99.99166667,105.5333333,109.1083333,110.4416667,115.9583333,123.1416667,138.075,145.9083333,140.0916667,152.65,157.7,159.5666667,160.6333333,163.3083333,168.125,165.475,160.8833333,159.2333333,159.85,161.2,180.6583333,201.0166667,203.95,58.52166667
Beer purchased from stores,92.53333333,93.9,99.99166667,104.5083333,110.0416667,113.4833333,114.2333333,116.325,119.4833333,125.6416667,134.075,138.4583333,145.125,150.5583333,154.6916667,156.4,162.4166667,167.2583333,176.0666667,175.7083333,172.9083333,182.925,196.8666667,195.2666667,198.85,54.94133333
Butter,96.28333333,98.28333333,99.99166667,104.55,107.0416667,118.625,122.5583333,124.5583333,130.1666667,138.5416667,129.6166667,133.625,136.8166667,140.8916667,147.3166667,148.8833333,152.3166667,153.2,152.6,152.7833333,157.7583333,164.325,192.25,212.925,210.1333333,71.88333333
Cereal products (excluding baby food),95.95,96.88333333,100,101.825,105.775,104.0083333,106.1333333,108.725,117.0416667,122.8,120.75,121.5583333,127.1083333,128.6083333,127.05,132.1833333,128.7583333,122.3583333,121.6083333,123.2916667,127.3333333,126.0666667,142.4833333,156.6416667,159.3666667,38.39433333
Cheese,96.275,98.2,100.0083333,101.3916667,102.9,108.175,114.3166667,116.7916667,117.5666667,119.0916667,118.4416667,118.275,119.9,118.6833333,119.4333333,120.5416667,119.0666667,112.3083333,108.075,106.45,109.2083333,113.2833333,118.6,122.2,123.9666667,16.651
Child care and housekeeping services,97.83333333,98.5,100.0166667,102.2083333,104.0333333,105.9083333,107.3,110.15,115.8,123.1333333,125.9166667,129.2083333,133.175,138.9833333,143.9916667,148.1833333,151.4416667,157.0666667,164.4166667,165.5166667,167.375,169.275,115.3,102.625,105.175,41.97366667
Children's clothing,103.725,102.75,99.99166667,97.825,94.08333333,94.09166667,88.18333333,87.70833333,86.525,85.51666667,80.20833333,80.5,80.65833333,80.425,80.575,85.31666667,86.18333333,88.2,86.31666667,85.38333333,86.15,85.675,81.24166667,84.61666667,79.41666667,16.07433333
Cigarettes,68.875,72.39166667,100,114.675,121.8083333,124.7,128.5333333,133.4333333,136.675,136.8666667,145.125,147.2416667,147.6833333,157.4083333,169.2833333,173.9583333,179.1083333,191.075,203.2916667,210.5,218.05,231.1333333,246.7166667,265.4083333,281.05,116.8503333
City bus and subway transportation,91.65,95.5,100,106.2333333,113.8,118.2916667,124.65,126.1,129.5,134.7416667,143.5,147.1,155.1,156.35,159.4,171.4,180.5,188.2,188.2,195.25,193.45,202.55,206.8,208.05,218.2,64.01933333
Clothing,99.91666667,100.0833333,100,99.39166667,99.35,100.175,94.65833333,92.35,89.84166667,89.45,87.68333333,86.1,85.16666667,85.81666667,85.89166667,88.58333333,87.9,88.43333333,90.125,91.56666667,90.4,89.2,87.53333333,87.68333333,83.40833333,8.946666667
"Clothing accessories, watches and jewellery",97.36666667,97.6,100,102.6416667,105.7,104.2333333,106.125,105.975,112.875,117.5,125.8416667,125.9083333,136.0833333,134.7916667,132.5916667,133.4916667,136.275,137.925,137.8416667,144.7666667,145.375,152.8916667,154.0916667,153.7916667,155.0833333,28.904
Clothing and footwear,98.175,99.04166667,100.0166667,99.625,100.3166667,100.9666667,97.6,96.2,95.06666667,96.19166667,96.2,95.1,95.83333333,96.53333333,97.05,98.75,98.60833333,99.83333333,100.7583333,103.4666667,102.3666667,102.5916667,102.1583333,102.4666667,98.06666667,4.547333333
