Exporter,Importer,Value
AFG,ARG,1.126
AFG,AUS,4.915
AFG,CHN,572.143
AFG,CZE,1.135
AFG,DNK,5.734
AFG,EST,1.443
AFG,FRA,1026.477
AFG,DEU,584.433
AFG,ISL,0.045
AFG,ITA,2.045
AFG,KGZ,3.057
AFG,MEX,0.418
AFG,PAK,140.434
AFG,IND,6.246
AFG,CHE,132.132
AFG,THA,0.497
AFG,ARE,192.337
AFG,TUR,0.274
AGO,BEL,585884.632
AGO,CAN,762.302
AGO,CHN,18077.661
AGO,CHN,15.007
AGO,HKG,68143.843
AGO,ISR,55146.708
AGO,NAM,2.743
AGO,PAN,1170.776
AGO,IND,97061.909
AGO,CHE,115558.045
AGO,THA,1900.87
AGO,ARE,1706795.385
AGO,USA,67358.13
ARG,BRA,4.292
ARG,DEU,52.9707149
ARG,HKG,2019.8
ARG,ITA,11.98599543
ARG,MEX,20.418
ARG,IND,27.742
ARG,ESP,4.272
ARG,THA,0.394
ARG,USA,907.691
ARG,URY,2.661
AUS,ARG,0.112
AUS,AUS,84407.109
AUS,AUS,64706.781
AUS,AUS,23778.186
AUS,AUT,91.068
AUS,AUT,7.9616684
AUS,BEL,26192.267
AUS,BEL,65.993
AUS,BEL,134.985
AUS,BRA,28.0502924
AUS,CAN,1492.21726
AUS,CAN,74.991
AUS,LKA,28.569
AUS,LKA,3.116
AUS,CHL,38.275
AUS,CHL,0.735
AUS,CHL,3.276
AUS,CHN,19988.593
AUS,CHN,1821.355
AUS,CHN,9949.668634
AUS,CZE,10.8941695
AUS,CZE,1.878
AUS,DNK,1284.116
AUS,DNK,47.153
AUS,DNK,4.69791392
AUS,FJI,57.341
AUS,FIN,9.814
AUS,FIN,20.592
AUS,FRA,48.429
AUS,FRA,990.185008
AUS,FRA,1606.698399
AUS,DEU,124.732
AUS,DEU,1585.88135
AUS,DEU,841.726508
AUS,HKG,25427.545
AUS,HKG,49009.9055
AUS,HKG,2031.206301
AUS,IDN,2.93177727
AUS,IDN,1.173
AUS,IDN,2.86093722
AUS,IRL,488.389
AUS,IRL,0.203
AUS,ISR,4906
AUS,ITA,44.763
AUS,ITA,1597.224422
AUS,ITA,215.4826354
AUS,JPN,8231.785
AUS,JPN,99596.06477
AUS,JPN,1723.709371
AUS,JOR,24.998
AUS,KOR,41.69658084
AUS,KOR,385.755327
AUS,KOR,6.57967265
AUS,LTU,0.021
AUS,MAC,59.017
AUS,MAC,1.504
AUS,MYS,2.284
AUS,MYS,297.66
AUS,MUS,11230.597
AUS,MEX,150.729
AUS,MEX,0.936
AUS,MNE,2.631
AUS,NLD,14.942
AUS,NLD,0.496
AUS,NCL,59.1372717
AUS,NCL,0.484
AUS,NCL,3.434
AUS,NZL,14585.8439
AUS,NZL,243.779186
AUS,NZL,2476.01248
AUS,NOR,9.405
AUS,NOR,0.39
AUS,PER,30.605
AUS,PHL,152.27
AUS,PHL,269.619291
AUS,POL,0.105
AUS,QAT,552.007
AUS,SYC,0.095
AUS,IND,48487.023
AUS,IND,0.5055
AUS,IND,627.970118
AUS,SGP,32355.5155
AUS,SGP,870.783
AUS,SGP,113.1465
AUS,VNM,0.925
AUS,ZAF,203.469
AUS,ZAF,16.79
AUS,ZAF,4.82429292
AUS,ZWE,0.257
AUS,ESP,282.852827
AUS,ESP,1.955
AUS,SWE,6.64
AUS,SWE,20.158
AUS,CHE,1220.184
AUS,CHE,925.181475
AUS,CHE,905.376885
AUS,THA,6862.154
AUS,THA,5122.08298
AUS,THA,1718.305746
AUS,ARE,35995.87997
AUS,ARE,109.9125047
AUS,TUR,3.137
AUS,UKR,40.222
AUS,UKR,2.22
AUS,GBR,268493.1014
AUS,GBR,98.19114
AUS,GBR,338.953535
AUS,USA,51144.939
AUS,USA,14426.9975
AUS,USA,31255.9065
AUT,DZA,56.091
AUT,AUS,35.4977548
AUT,ARM,79.41414821
AUT,BEL,17.386
AUT,BEL,13.044
AUT,BOL,24.418
AUT,BOL,72.917
AUT,BRA,256.8371158
AUT,CHN,12.2663554
AUT,CHN,13522.453
AUT,COL,0.222
AUT,HRV,4.531
AUT,CYP,3.18
AUT,CZE,2.057
AUT,DNK,37.21
AUT,DNK,9.31670991
AUT,EST,2.538
AUT,FIN,30.6939513
AUT,FRA,35.57905352
AUT,GEO,1.298
AUT,DEU,7.91140572
AUT,DEU,12.392
AUT,DEU,1398.642247
AUT,GRC,0.272
AUT,GRC,34.29392671
AUT,GRL,9.867
AUT,HKG,115.042
AUT,HKG,1.389
AUT,HKG,3568.04818
AUT,HUN,28.314
AUT,ISL,0.091
AUT,IDN,6.694
AUT,IRL,16.123
AUT,ISR,1220.882
AUT,ITA,76.065
AUT,ITA,320.8887034
AUT,JPN,27.668
AUT,JPN,18.817
AUT,JPN,647.7384659
AUT,KOR,930.954388
AUT,LTU,18.0549326
AUT,LUX,59.429
AUT,MDG,2.14242349
AUT,MYS,8.194
AUT,MEX,61.481
AUT,NLD,5.918
AUT,NLD,43.62
AUT,NLD,4.58743915
AUT,NZL,1.039
